Breed_ID,Breed_name,AltBreedName,PetGroup1,PetGroup2,MaleWtLb,Fur_Length,Avg_life_time,Temperament,Pet_Category_ID
0163,0rfolk Terrier,,Terrier,Terrier,11,,11,"Companionable, Fearless, Happy, Lovable, Self-confident, Spirited, Intelligent",1
0164,0rwegian Buhund,,Herding,0rthern,35,,12.67,"Agile, Courageous, Energetic, Friendly, Fun-loving",1
0165,0rwegian Elkhound,,Hound,0rthern,57,,13.17,"Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent",1
0166,0rwegian Lundehund,,0n Sporting,0rthern,18,,,"Alert, Energetic, Loyal, Protective",1
0167,0rwich Terrier,,Terrier,Terrier,11,,13.38,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",1
0168,0va Scotia Duck-Tolling Retriever,,Sporting,Gun Dogs,44,,8,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",1
0169,Old English Sheepdog,,Herding,Herding,86,,10.75,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1
0170,Otterhound,,Hound,Scenthound,90,,10.21,"Amiable, Boisterous, Even-tempered",1
0171,Papillon,,Toy,Companion,11,,13.08,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",1
0172,Patterdale Terrier (Fell Terrier),,Terrier,Terrier,13,,,"Bold, Confident, Energetic, Friendly, Inquisitive, Intelligent",1
0173,Pekingese,,Toy,Companion,9,,11.42,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",1
0174,Peruvian Inca Orchid,,Hound,Sight,22,,,"Affectionate, Alert, Intelligent, Lively, 0ble, Protective",1
0175,Petit Basset Griffon Vendeen,,Hound,Scenthound,35,,,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",1
0176,Pharaoh Hound,,Hound,Sight,51,,11.83,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",1
0177,Pit Bull Terrier,,Terrier,Terrier,51,,,"Affectionate, Aggressive, Clownish, Courageous, Friendly, Intelligent, Loyal, Obedient, Strong-willed, Stubborn",1
0178,Plott Hound,,Hound,Scenthound,57,,,"Alert, Bold, Courageous, Loyal",1
0179,Podengo Portugueso,,Hound,Sight,11,,,"Active, Companionable, Friendly, Hardy, Lively, Loyal",1
0180,Pointer,,Sporting,Gun,55,,12.42,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",1
0181,Polish Lowland Sheepdog,,Herding,Herding,42,,9.58,"Agile, Even-tempered, Lively, Perceptive, Self-confident",1
0182,Pomeranian,,Toy,Companion,4,,9.67,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",1
0183,Poodle,,0n Sporting,Gun,57,Long,,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1
0184,Standard Poodle,,0n Sporting,Gun,57,,12,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1
0185,Miniature Poodle,,Toy,Companion,18,,,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1
0186,Toy Poodle,,Toy,Companion,9,Long,,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1
0187,Portuguese Water Dog,,Working,Gun,49,,11.42,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",1
0188,Presa Canario,,Working,Guardian,88,,,"Calm, Dominant, Gentle, Strong-willed, Suspicious",1
0189,Pug,,Toy,Companion,18,,11,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal",1
0190,Puli,,Herding,Herding,31,,,"Agile, Energetic, Faithful, Intelligent, Loyal, Obedient",1
0191,Pumi,,Herding,Herding,29,,,"Active, Intelligent, Lively, Protective, Reserved, Vocal",1
0192,Rat Terrier,,Terrier,Terrier,24,,,"Affectioante, Alert, Inquisitive, Lively, Loving",1
0193,Redbone Coonhound,Redbone,Hound,Scenthound,62,,,"Affectionate, Companionable, Energetic, Familial, Independent, Unflappable",1
0194,Retriever,,Sporting,Gun,71,,,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1
0195,Rhodesian Ridgeback,,Hound,Sight,86,,11,"Dignified, Intelligent, Loyal, Mischevious, Sensitive, Strong-willed",1
0196,Rottweiler,,Working,Guardian,112,,8.92,"Alert, Courageous, Fearless, Good-natured, Independent, Intelligent, Loyal, Protective",1
0197,Saint Bernard,,Working,Guardian,146,,,"Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social",1
0198,Saluki,,Hound,Sight,46,,12,"Aloof, Intelligent, Quiet, Reserverd, Loyal",1
0199,Samoyed,,Working,0rthern,57,Long,12.5,"Alert, Lively, Friendly, Intelligent, Playful, Sociable, Stubborn",1
0200,Sarplaninac,,Working,Guardian,73,,,"Independent, Calm, Devoted, Intelligent, Protective, Reliable",1
0201,Schipperke,,0n Sporting,Companion,15,,13,"Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent",1
0202,Miniature Schnauzer,,Terrier,Companion,18,,,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1
0203,Schnauzer,Standard Schnauzer,Working,Herding,37,Long,11.96,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1
0204,Giant Schnauzer,,Working,Herding,68,,,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1
0205,Scottish Deerhound,,Hound,Sight,93,,,"Dignified, Docile, Friendly, Gentle, Polite, Quiet",1
0206,Scottish Terrier Scottie,Scotch Terrier,Terrier,Terrier,20,,,"Independent, Fiesty, Alert, Playful, Quick, Self-assured",1
0207,Sealyham Terrier,,Terrier,Terrier,20,,10.25,"Alert, Calm, Even-tempered, Fearless, Friendly, Intelligent",1
0208,Setter,,Sporting,Gun,66,,,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",1
0209,Shar Pei,,0n Sporting,0rthern,49,,6.29,"Affectionate, Devoted, Independent, Loving, Reserved, Suspicious",1
0210,Sheep Dog,,Herding,Herding,86,,,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1
0211,Shepherd,,Herding,Herding,77,,,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1
0212,Shetland Sheepdog Sheltie,Shetland Sheepdog,Herding,Herding,20,,12.5,"Affectionate, Friendly, Gentle, Intelligent, Lively, Playful, Responsive",1
0213,Shiba Inu,,0n Sporting,Companion,22,,7,"Alert, Charming, Confident, Faithful, Fearless, Keen, Outgoing",1
0214,Shih Tzu,,Toy,Companion,13,,13.17,"Active, Courageous, Friendly, Gentle, Happy, Intelligent, Lively, Outgoing, Playful",1
0215,Siberian Husky,,Working,0rthern,53,,12.58,"Alert, Friendly, Gentle, Intelligent, Outgoing",1
0216,Silky Terrier,,Toy,Terrier,11,,,"Alert, Friendly, Inquisitive, Joyful, Quick, Responsive, Intelligent",1
0217,Skye Terrier,,Terrier,Terrier,37,,11,"Loyal, Fearless, Friendly, Good-tempered, Intelligent",1
0218,Sloughi,,Hound,Sight,62,,,"Alert, Faithful, Intelligent, Sensitive, Independent, Playful, Sweet",1
0219,Smooth Fox Terrier,,Terrier,Terrier,18,,,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",1
0220,South Russian Ovtcharka,,Herding,Herding,108,,,"Active, Balanced, Courageous, Lively, Nervous",1
0221,Spaniel,,Sporting,Gun,22,,,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",1
0222,Spitz,,0n Sporting,0rthern,18,,,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",1
0223,Staffordshire Bull Terrier,Staffordshire Bullterrier,Terrier,Terrier,31,,12.75,"Affectionate, Bold, Courageous, Fearless, Intelligent, Reliable",1
0224,Sussex Spaniel,,Sporting,Gun,42,,11.13,"Calm, Cheerful, Companionable, Devoted, Friendly, Sociable",1
0225,Swedish Vallhund,,Herding,Herding,29,,,"Alert, Energetic, Fearless, Friendly, Watchful",1
0226,Terrier,,Terrier,Terrier,18,,,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",1
0227,Thai Ridgeback,,Hound,Sight,62,,,"Familial, Independent, Loving, Loyal, Protective",1
0228,Tibetan Mastiff,,Working,Guardian,157,,,"Aloof, Protective, Strong-willed, Stubborn, Courageous, Loyal",1
0229,Tibetan Spaniel,,0n Sporting,Companion,13,,,"Intelligent, Assertive, Aloof, Happy, Independent, Willful",1
0230,Tibetan Terrier,,0n Sporting,Companion,22,,,"Affectionate, Amiable, Energetic, Gentle, Reserved, Sensitive, Intelligent",1
0231,Tosa Inu,,Working,Guardian,143,,,"Aggressive, Brave, Fearless, Intelligent, Sensitive, Suspicious",1
0232,Toy Fox Terrier,Toy Terrier,Toy,Terrier,4,Long,,"Alert, Friendly, Intelligent, Loyal, Playful, Spirited",1
0233,Treeing Walker Coonhound,Walker Hound,Hound,Scenthound,62,,,"Affectionate, Clever, Confident, Loving, Trainable",1
0234,Vizsla,,Sporting,Gun,46,,,"Affectionate, Cheerful, Energetic, Gentle, Intelligent, Playful, Protective, Quiet",1
0235,Weimaraner,,Sporting,Gun,64,,,"Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social",1
0236,Welsh Corgi,,Herding,Herding,29,,,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1
0237,Cardigan,,Herding,Herding,35,,,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1
0238,Pembroke,,Herding,Herding,26,,,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1
0239,Welsh Springer Spaniel,,Sporting,Gun,40,,,"Affectionate, Loyal, Active, Friendly, Playful, Stubborn, Intelligent",1
0240,Welsh Terrier,,Terrier,Terrier,20,,,"Alert, Friendly, Intelligent, Spirited, Independent, Loving",1
0241,West Highland White Terrier Westie,West Highland White Terrier,Terrier,Terrier,18,,13,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",1
0242,Wheaten Terrier,Soft Coated Wheaten Terrier,Terrier,Terrier,40,,,"Affectionate, Energetic, Faithful, Intelligent, Playful, Spirited",1
0243,Whippet,,Hound,Sight,35,,12.79,"Affectionate, Friendly, Gentle, Intelligent, Lively, Quiet",1
0244,White German Shepherd,,Herding,Herding,77,,,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1
0245,Wire Fox Terrier,Wire Haired Fox Terrier,Terrier,Terrier,15,,,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",1
0246,Wire-haired Pointing Griffon,,Sporting,Gun,55,,,"Gentle, Loyal, Proud, Trainable, Vigilant, Intelligent",1
0247,Wirehaired Terrier,,Terrier,Terrier,15,,,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",1
0248,Xoloitzcuintle/Mexican Hairless,Mexican Hairless,0n Sporting,Sight,24,,,"Aleret, Calm, Cheerful, Companionable, Loyal, Protective",1
0249,Yellow Labrador Retriever,,Sporting,Gun,71,,,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1
0250,Yorkshire Terrier Yorkie,Yorkshire Terrier,Toy,Companion,7,,12.67,"Alert, Courageous, Energetic, Independent, Intelligent, Loyal, Playful",1
0251,Mixed Breed,,,,,,,,1
0252,Abyssinian,,,,9,Short,,"Active, Energetic, Independent, Intelligent, Gentle",2
0253,American Curl,,,,9,Medium,,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",2
0254,American Shorthair,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0255,American Wirehair,,,,13,Medium,,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",2
0256,Applehead Siamese,,,,13,Short,,"Active, Agile, Clever, Sociable, Loving, Energetic",2
0257,Balinese,,,,9,Long,,"Affectionate, Intelligent, Playful",2
0258,Bengal,,,,13,Medium,,"Active, Agile, Lively, Affectionate, Energetic, Rambunctious",2
0259,Birman,,,,11,Long,,"Affectionate, Active, Gentle, Social",2
0260,Bobtail,,,,13,Medium,,"Intelligent, Interactive, Lively, Playful, Sensitive",2
0261,Bombay,,,,9,Short,,"Affectionate, Dependent, Gentle, Intelligent, Playful",2
0262,British Shorthair,,,,15,Short,,"Affectionate, Easygoing, Gentle, Loyal, Patient, Calm",2
0263,Burmese,,,,11,Short,,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",2
0264,Burmilla,,,,11,Long,,"Easygoing, Friendly, Intelligent, Lively, Playful, Social",2
0265,Calico,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0266,Canadian Hairless,,,,11,Bald,,"Loyal, Inquisitive, Friendly, Quiet, Gentle",2
0267,Chartreux,,,,13,Short,,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",2
0268,Chausie,,,,11,Short,,"Affectionate, Intelligent, Playful, Social",2
0269,Chinchilla,,,,2,Short,,"Active, Playful",2
0270,Cornish Rex,,,,7,Short,,"Affectionate, Intelligent, Active, Curious, Playful",2
0271,Cymric,,,,11,Long,,"Gentle, Loyal, Intelligent, Playful",2
0272,Devon Rex,,,,7,Short,,"Intelligent, Active, Mischevious, Playful",2
0273,Dilute Calico,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0274,Dilute Tortoiseshell,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0275,Domestic Long Hair,,,,13,Long,,"Active, Curious, Easygoing, Playful, Calm",2
0276,Domestic Medium Hair,,,,13,Medium,,"Active, Curious, Easygoing, Playful, Calm",2
0277,Domestic Short Hair,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0278,Egyptian Mau,,,,11,Medium,,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",2
0279,Exotic Shorthair,,,,11,Short,,"Affectionate, Sweet, Loyal, Quiet, Peaceful",2
