Breed_ID,Breed_name,AltBreedName,PetGroup1,PetGroup2,MaleWtLb,Fur_Length,Avg_life_time,Temperament,Pet_Category_ID
0017,Australian Kelpie,Kelpie,Working,Herding,35,,,"Alert, Eager, Energetic, Friendly, Intelligent, Loyal, Robust",1
0018,Australian Shepherd,,Terrier,Terrier,60,,9,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",1
0019,Australian Terrier,,Terrier,Terrier,11,,12.08,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",1
0020,Basenji,,Hound,Sight,24,,13.54,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",1
0021,Basset Hound,Basset,Hound,Scenthound,57,,11.29,"Affectionate, Devoted, Friendly, Gentle, Sweet-tempered, Tenacious",1
0022,Beagle,,Hound,Scenthound,24,,12.67,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",1
0023,Bearded Collie,,Herding,Herding,51,,13.38,"Active, Alert, Hardy, Intelligent, Lively, Self-confident",1
0024,Beauceron,,Herding,Herding,110,,,"Courageous, Obedient, Loyal, Protective, Loving",1
0025,Bedlington Terrier,,Terrier,Terrier,20,,13.38,"Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent",1
0026,Belgian Shepherd Dog Sheepdog,Groenendael,Herding,Herding,71,,12.5,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent",1
0027,Belgian Shepherd Laeke0is,,Herding,Herding,62,,,"Active, Alert, Energetic, Lively, Protective, Watchful",1
0028,Belgian Shepherd Mali0is,Mali0is,Herding,Herding,60,,,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful",1
0029,Belgian Shepherd Tervuren,,Herding,Herding,75,,,"Alert, Attentive, Energetic, Intelligent, Loyal, Protective",1
0030,Bernese Mountain Dog,,Working,Guardian,97,,8,"Affectionate, Faithful, Intelligent, Loyal",1
0031,Bichon Frise,,0n Sporting,Companion,9,,12.92,"Affectionate, Cheerful, Feisty, Gentle, Playful, Intelligent, Sensitive",1
0032,Black and Tan Coonhound,,Hound,Scenthound,121,,,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",1
0033,Black Labrador Retriever,,Sporting,Gun,71,,,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1
0034,Black Mouth Cur,,Hound,Scenthound,71,,,"Active, Fearless, Kind, Loyal, Protective, Trainable",1
0035,Black Russian Terrier,,Working,Guardian,112,,,"Brave, Confident, Energetic, Hardy, Lively, Stable",1
0036,Bloodhound,,Hound,Scenthound,101,,6.79,"Affectionate, Even-tempered, Gentle, Stubborn, Independent",1
0037,Blue Lacy,,Sporting,Gun,40,,,"Active, Alert, Bold, Devoted, Intelligent, Intense",1
0038,Bluetick Coonhound,Bluetick,Hound,Scenthound,62,,,"Friendly, Active, Gentle",1
0039,Boerboel,,Working,Guardian,176,,,"Confident, Dominant, Intelligent, Obedient, Territorial",1
0040,Bolognese,,Working,Companion,7,,,"Docile, Enterprising, Loyal, Reserved, Serious",1
0041,Border Collie,,Herding,Herding,37,,12.25,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",1
0042,Border Terrier,,Terrier,Terrier,15,,14,"Affectionate, Alert, Even-tempered, Fearless, Intelligent, Obedient",1
0043,Borzoi,,Hound,Sight,90,,9.08,"Athletic, Gentle, Independent, Intelligent, Quiet, Respectful",1
0044,Boston Terrier,Boston Bull,0n Sporting,Companion,20,,10.92,"Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful",1
0045,Bouvier des Flanders,,Herding,Herding,93,,11.33,"Familial, Gentle, Intelligent, Loyal, Protective, Rational",1
0046,Boxer,,Working,Guardian,66,,10.25,"Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful",1
0047,Boykin Spaniel,,Sporting,Gun,33,,,"Companionable, Eager, Energetic, Friendly, Intelligent, Trainable",1
0048,Briard,,Herding,Gun,77,,11.17,"Faithful, Fearless, Intelligent, Loyal, Obedient, Protective",1
0049,Brittany Spaniel,,Sporting,Gun,37,,12.88,"Alert, Independent, Intelligent, Responsive, Social",1
0050,Brussels Griffon,Brabancon Griffon,Toy,Companion,9,,,"Alert, Companionable, Inquisitive, Self-important, Sensitive, Watchful",1
0051,Bull Terrier,American Pit Bull Terrier,Terrier,Terrier,62,,10,"Active, Keen, Protective, Sweet-tempered, Trainable",1
0052,Bullmastiff,Bull Mastiff,Working,Guardian,121,,7.46,"Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable",1
0053,Cairn Terrier,Cairn,Terrier,Terrier,15,,14,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",1
0054,Canaan Dog,,Herding,Sight,46,,14.63,"Alert, Cautious, Devoted, Quick, Vigilant",1
0055,Cane Corso Mastiff,,Working,Guardian,104,,,"Cheerful, Courageous, Loyal, Quiet, Social",1
0056,Carolina Dog,,,Sight,40,,,"Adaptable, Gentle, Loyal, Primitive, Reserved",1
0057,Catahoula Leopard Dog,,Herding,Herding,60,,,"Alert, Courageous, Energetic, Gentle, Independent, Intelligent, Loving, Loyal, Protective",1
0058,Cattle Dog,,Herding,Herding,46,,,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",1
0059,Caucasian Sheepdog (Caucasian Ovtcharka),,Working,Guardian,139,,,"Alert, Calm, Dominant, Powerful, Quick,Strong",1
0060,Cavalier King Charles Spaniel,,Toy,Companion,15,,11.38,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Social",1
0061,Chesapeake Bay Retriever,,Sporting,Gun,73,,10.75,"Happy, Affectionate, Dominant, Intelligent, Protective, Quiet",1
0062,Chihuahua,,Toy,Companion,4,,12.42,"Alert, Courageous, Devoted, Lively, Intelligent, Quick",1
0063,Chinese Crested Dog,,Toy,Companion,9,,10.08,"Affectionate, Alert, Happy, Lively, Playful, Sweet-tempered",1
0064,Chinese Foo Dog,,Working,0rthern,55,,,"Friendly, Devoted, Courageous",1
0065,Chi0ok,,Working,0rthern,71,,,"Alert, Calm, Dignified, Friendly, Responsive",1
0066,Chocolate Labrador Retriever,,Sporting,Gun,71,,,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1
0067,Chow Chow,Chow,0n Sporting,0rthern,57,,9.38,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",1
0068,Cirneco dell'Etna,,Hound,Sight,24,,10.33,"Affectionate, Gentle, Lively",1
0069,Clumber Spaniel,Clumber,Sporting,Gun,71,,,"Gentle, Loyal, Affectionate, Dignified, Aloof",1
0070,Cockapoo,,Sporting,Gun,18,,,"Affectionate, Alert, Cheerful, Friendly, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1
0071,Cocker Spaniel,,Sporting,Gun,22,,11.17,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",1
0072,Collie,,Herding,Herding,68,,12.67,"Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social",1
0073,Coonhound,,Hound,Scenthound,121,,,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",1
0074,Corgi,,Herding,Herding,29,,,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1
0075,Coton de Tulear,,0n Sporting,Companion,13,,,"Affectionate, Intelligent, Lively, Playful, Trainable, Vocal",1
0076,Curly-Coated Retriever,,Sporting,Gun,75,,10.75,"Clever, Independent, Intelligent, Lively, Sensitive, Trainable",1
0077,Dachshund,,Hound,Scenthound,15,,12.67,"Clever, Courageous, Devoted, Lively, Playful, Stubborn",1
0078,Dalmatian,,0n Sporting,Companion,55,,12.5,"Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive",1
0079,Dandi Dinmont Terrier,Dandie Dinmont,Terrier,Terrier,22,,12.17,"Affectionate, Companionable, Determined, Fun-loving, Independent, Lively, Intelligent",1
0080,Dhole,,,,40,,,Wild,1
0081,Dingo,,,,35,,,Wild,1
0082,Doberman Pinscher,Doberman,Working,Guardian,95,,10.5,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",1
0083,Dogo Argenti0,,Working,Guardian,95,,,"Affectionate, Cheerful, Friendly, Loyal, Protective, Tolerant, Social",1
0084,Dogue de Bordeaux,,Working,Guardian,132,,3.83,"Companionable, Courageous, Devoted, Even-tempered, Loyal, Vigiliant",1
0085,Dutch Shepherd,,Herding,Herding,62,,,"Affectionate, Alert, Loyal, Obedient, Reliable, Trainable",1
0086,English Bulldog,,0n Sporting,Companion,55,,,"Aggressive, Courageous, Friendly, Loving, Social, Sweet",1
0087,English Cocker Spaniel,,Sporting,Gun,31,,,"Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable",1
0088,English Coonhound,,Hound,Scenthound,57,,,"Active, Energetic, High-strung, Loyal",1
0089,English Pointer,,Sporting,Gun,55,,,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",1
0090,English Setter,,Sporting,Gun,66,,11.58,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",1
0091,English Shepherd,,Herding,Herding,55,,,"Adaptable, Alert, Courageous, Energetic, Friendly, Independent, Intelligent, Playful, Responsibe",1
0092,English Springer Spaniel,,Sporting,Gun,51,,12,"Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social",1
0093,English Toy Spaniel,Blenheim Spaniel,Toy,Companion,11,,,"Affectionate, Gentle, Happy, Loving, Playful, Reserved",1
0094,Entlebucher,,Herding,Guardian,60,,,"Agile, Devoted, Independent, Loyal, Self-confident",1
0095,Eskimo Dog,,0n Sporting,0rthern,18,,,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",1
0096,Feist,,Terrier,Terrier,33,,,"Agile, Alert, Lovable, Spirited, Swift",1
0097,Field Spaniel,,Sporting,Gun,42,,11.63,"Adaptable, Cautious, Docile, Familial, Sensitive, Sociable",1
0098,Fila Brasileiro,,Working,Guardian,101,,,"Brave, Courageous, Determined, Docile, Loyal, Obedient",1
0099,Finnish Lapphund,,Herding,0rthern,40,,7.33,"Calm, Courageous, Faithful, Friendly, Keen",1
0100,Finnish Spitz,,0n Sporting,0rthern,33,,11.13,"Happy, Independent, Intelligent, Loyal, Playful, Vocal",1
0101,Flat-coated Retriever,,Sporting,Gun,66,,9.83,"Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent",1
0102,Fox Terrier,,Terrier,Terrier,18,,13.13,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",1
0103,Foxhound,,Hound,Scenthound,71,,,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",1
0104,French Bulldog,,0n Sporting,Companion,26,,9,"Affectionate, Playful, Alert, Athletic, Bright, Easygoing, Keen, Lively, Patient",1
0105,Galgo Spanish Greyhound,,Hound,Sight,55,,,"Affectionate, Calm, Quiet, Gentle",1
0106,German Pinscher,,Working,Terrier,31,,11.38,"Even-tempered, Familial, Courageous, Lively, Loving, Spirited",1
0107,German Shepherd Dog,German Shepherd,Herding,Herding,77,,,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1
0108,German Shorthaired Pointer,German Short Haired Pointer,Working,Gun,64,,12,"Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable",1
0109,German Spitz,,0n Sporting,0rthern,18,,11.33,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",1
0110,German Wirehaired Pointer,,Sporting,Gun,66,,10,"Active, Affectionate, Friendly, Intelligent, Loyal, Willful, Responsive",1
0111,Giant Schnauzer,,Working,Companion,84,,10,"Dominant, Intelligent, Kind, Loyal, Powerful, Strong-willed",1
